date,id,hotness,num_of_viewers
202302,39045,99.52948557,3.691869829
202302,36055,99.46675031,2.90548673
202302,9003,99.3412798,3.574108269
202302,25009,99.15307403,3.022914121
202302,36117,98.36888331,2.591071129
202302,50007,98.11794228,2.378359769
202302,25013,98.11794228,2.427261674
202302,39169,97.55332497,2.257136317
202302,9013,97.52195734,3.146018454
202302,33011,97.49058971,3.120232661
202302,39127,97.27101631,2.300136383
202302,36109,97.17691343,2.206998374
202302,39083,97.08281054,2.458189656
202302,39117,96.83186951,2.45398736
202302,9015,96.73776663,2.706431838
202302,39049,95.70263488,2.243435842
202302,39103,95.35759097,2.807537818
202302,39089,95.04391468,2.378201733
202302,42095,95.04391468,2.087397548
202302,39041,95.01254705,2.733104801
202302,36073,94.91844417,1.99285593
202302,23023,94.88707654,2.835970665
202302,34027,94.73023839,2.130316297
202302,39139,94.73023839,2.345537919
202302,9009,94.51066499,2.423558717
202302,44003,94.07151819,2.000343897
202302,18157,93.13048934,2.232007939
202302,25017,93.00501882,1.797388808
202302,47001,92.87954831,2.122469785
202302,19155,92.78544542,1.804655425
202302,51035,92.59723965,2.053348803
202302,34035,92.56587202,2.127831173
202302,39017,92.53450439,1.918538009
202302,29051,92.40903388,2.004030151
202302,25005,91.84441656,1.885152149
202302,25027,91.84441656,2.073931822
202302,55027,91.78168131,2.130477358
202302,39133,91.78168131,2.467770315
202302,25021,91.68757842,1.77081761
202302,34007,91.49937265,1.893231209
202302,39085,91.46800502,2.124840892
202302,39157,91.31116688,1.906606481
202302,30013,91.21706399,2.222235391
202302,44007,91.18569636,1.864260266
202302,47163,90.96612296,2.696355659
202302,39005,90.87202008,2.251955842
202302,23001,90.55834379,2.758793024
202302,6083,90.27603513,1.947102444
202302,55087,90.2446675,2.8511722
202302,26111,90.0250941,2.516911504
202302,18127,89.96235885,1.993672828
202302,39109,89.68005019,1.987853082
202302,42077,89.64868256,1.727394101
202302,51143,89.46047679,1.982276241
202302,17111,89.42910916,1.71391909
202302,55079,89.42910916,1.667918681
202302,34039,89.33500627,1.66554884
202302,55059,89.30363865,2.322838087
202302,17179,89.30363865,2.153795949
202302,39057,89.1468005,2.223411316
202302,37027,88.61355082,2.230230325
202302,55071,88.29987453,2.685747185
202302,34005,88.23713927,2.013484114
202302,18177,87.98619824,1.954338539
202302,51680,87.89209536,1.597348745
202302,39027,87.76662484,1.991413763
202302,47093,87.57841907,1.861760805
202302,55073,87.54705144,2.522622113
202302,33015,87.23337516,2.417689545
202302,39025,86.85696361,1.682711983
202302,39143,86.63739021,2.472614816
202302,34015,86.60602259,2.131005976
202302,39113,86.54328733,1.83746542
202302,21185,86.41781681,1.772465372
202302,18085,86.32371393,1.643289812
202302,6031,86.2923463,1.937907436
202302,29189,86.2923463,1.621106902
202302,51009,86.19824341,1.658483538
202302,34023,86.0727729,1.529271787
202302,25023,85.88456713,2.129570086
202302,39093,85.69636136,2.01739262
202302,8059,85.38268507,1.444654759
202302,51155,85.22584693,2.091513011
202302,37049,85.22584693,1.825809725
202302,55139,85.1944793,2.949449487
202302,27123,85.06900878,1.509462198
202302,20169,84.66122961,1.541276657
202302,23005,84.59849435,2.845432635
202302,21111,84.56712673,1.451812473
202302,17043,84.5357591,1.509207999
202302,39153,84.44165621,1.696002733
202302,55025,84.44165621,1.935472538
202302,42061,84.22208281,1.665383023
202302,51590,84.15934755,1.482675104
202302,39063,84.0966123,2.327795198
202302,39151,84.03387704,1.65570833
202302,6101,84.00250941,1.911399325
202302,34031,83.93977415,1.561280979
202302,47009,83.93977415,2.111698161
202302,44001,83.93977415,2.084135628
202302,18043,83.78293601,1.53695771
202302,39019,83.75156838,1.715463765
202302,51121,83.72020075,1.679974385
202302,17089,83.6574655,1.443664492
202302,55089,83.6574655,1.771616636
202302,39039,83.53199498,1.792585471
202302,18069,83.46925972,1.735131085
202302,39141,83.31242158,2.919590932
202302,51067,83.18695107,2.122963812
202302,51770,83.09284818,1.73373549
202302,55105,83.09284818,2.428302276
202302,18039,83.03011292,1.527788281
202302,18137,82.96737767,1.42666805
202302,17167,82.90464241,1.909010755
202302,27079,82.90464241,1.33360844
202302,26155,82.87327478,1.771126076
202302,6111,82.81053952,1.4597018
202302,21015,82.81053952,1.572725012
202302,48381,82.68506901,1.447165957
202302,55123,82.52823087,1.586321747
202302,36069,82.30865747,1.723528625
202302,17201,82.30865747,2.053790384
202302,1001,82.27728984,1.32697582
202302,18087,82.08908407,1.339569973
202302,42091,82.05771644,1.748820721
202302,26125,81.80677541,1.574032469
202302,39051,81.77540778,1.806279408
202302,26115,81.74404015,2.048626867
202302,17197,81.74404015,1.400483224
202302,55063,81.71267252,2.297125024
202302,39155,81.58720201,1.886761926
202302,47179,81.33626098,2.631646558
202302,39099,81.24215809,1.809391448
202302,18003,81.14805521,1.810391789
202302,42109,81.14805521,2.216047775
202302,6067,81.08531995,1.405040472
202302,34013,80.95984944,1.42300851
202302,20155,80.92848181,1.404463841
202302,51760,80.86574655,1.32171038
202302,55101,80.77164366,1.617997297
202302,56037,80.64617315,1.594140604
202302,27147,80.61480552,1.834581148
202302,17097,80.58343789,1.408292126
202302,48183,80.36386449,1.725031564
202302,26055,80.36386449,1.478847102
202302,17137,80.33249686,2.160538852
202302,39145,80.11292346,1.346581767
202302,39095,80.05018821,1.365407519
202302,18067,79.83061481,1.782815187
202302,18057,79.83061481,1.551447932
202302,42017,79.76787955,2.182121435
202302,55031,79.64240903,2.523519044
202302,12073,79.61104141,1.325161453
202302,18023,79.54830615,1.33019841
202302,39101,79.48557089,1.80200554
202302,30111,79.36010038,1.753964749
202302,47019,79.26599749,2.691563571
202302,39165,79.26599749,1.905190392
202302,20113,79.20326223,1.723756258
202302,33017,79.14052698,2.938057611
202302,29077,78.95232121,1.431373056
202302,12115,78.92095358,1.438056947
202302,45091,78.92095358,1.440505352
202302,42045,78.92095358,1.352616245
202302,2020,78.88958595,1.249453839
202302,6013,78.82685069,1.224514847
202302,45079,78.63864492,1.25872757
202302,37157,78.60727729,1.530564074
202302,33001,78.57590966,2.813071743
202302,21211,78.5131744,1.642768385
202302,21093,78.5131744,1.277000226
202302,27109,78.41907152,1.523587852
202302,51019,78.38770389,1.755420275
202302,6053,78.293601,1.920789922
202302,24027,78.293601,1.24408261
202302,26093,78.19949812,1.826812257
202302,55035,78.19949812,2.041027918
202302,33009,78.16813049,2.210273744
202302,39123,78.13676286,1.619253006
202302,39061,78.0740276,1.64677949
202302,39173,78.04265998,2.189087669
202302,26065,77.97992472,1.411368201
202302,42043,77.69761606,1.358864831
202302,46103,77.69761606,1.331773443
202302,42011,77.66624843,1.519445091
202302,42071,77.6348808,1.693535707
202302,51660,77.6348808,1.278214851
202302,39031,77.57214555,1.247134656
202302,39107,77.50941029,1.374719264
202302,29043,77.47804266,1.456951115
202302,45089,77.4153074,1.781321806
202302,13187,77.4153074,1.480156994
202302,36037,77.4153074,1.718758954
202302,16069,77.35257215,1.347595804
202302,37197,77.32120452,1.949302746
202302,5125,77.195734,1.351083943
202302,47167,77.195734,1.363394629
202302,39159,77.13299875,2.354828233
202302,33013,77.07026349,3.079685621
202302,34003,77.00752823,1.329577386
202302,13295,76.81932246,1.291209172
202302,20177,76.78795483,1.67960609
202302,51095,76.78795483,1.434416612
202302,34025,76.7565872,1.611385387
202302,27099,76.69385195,1.612118057
202302,34019,76.59974906,2.256717857
202302,20079,76.56838143,1.461050557
202302,39011,76.56838143,1.760593061
202302,39015,76.50564617,1.330823044
202302,27017,76.44291092,3.718742286
202302,39043,76.44291092,2.224499563
202302,17177,76.38017566,1.214702844
202302,6113,76.38017566,1.229294342
202302,5045,76.3174404,1.609619215
202302,12103,76.28607277,1.458616147
202302,53063,76.097867,1.20435069
202302,39047,76.06649937,2.377844277
202302,6073,75.97239649,1.183963714
202302,20161,75.97239649,1.626491452
202302,36099,75.8782936,2.052392973
202302,37129,75.84692597,1.749929881
202302,55133,75.69008783,1.928637025
202302,12117,75.69008783,1.626966183
202302,19193,75.62735257,1.70871193
202302,39003,75.56461732,2.159640037
202302,29019,75.53324969,1.470423538
202302,51161,75.50188206,1.98821182
202302,9011,75.40777917,2.579082956
202302,37057,75.15683814,1.210233046
202302,51810,75.15683814,1.13990837
202302,39023,75.12547051,1.665375481
202302,37023,74.93726474,1.869765564
202302,18035,74.90589711,1.409902181
202302,24015,74.74905897,1.51957593
202302,37195,74.74905897,1.33401938
202302,18081,74.59222083,1.247336692
202302,55039,74.52948557,2.230217771
202302,55141,74.46675031,2.182996795
202302,37151,74.43538269,1.592458955
202302,26099,74.37264743,1.222410606
202302,55055,74.18444166,2.193914967
202302,37067,74.18444166,1.309312708
202302,37081,74.09033877,1.321031592
202302,54069,74.02760351,1.7522526
202302,45063,73.99623589,1.156389564
202302,54079,73.93350063,2.123008432
202302,18063,73.93350063,1.410452382
202302,44009,73.87076537,2.220267517
202302,12095,73.83939774,1.496015734
202302,10003,73.52572146,1.59314965
202302,47065,73.52572146,1.488636642
202302,18073,73.49435383,1.957298792
202302,17161,73.36888331,1.129639104
202302,18113,73.36888331,1.769648699
202302,29131,73.33751568,1.191574042
202302,6099,73.21204517,1.312120527
202302,55117,73.11794228,1.998135065
202302,42079,73.08657466,1.79263391
202302,26081,73.05520703,1.183144354
202302,39137,73.05520703,1.207307107
202302,28035,73.0238394,1.493136241
202302,19099,72.89836888,1.338398179
202302,24009,72.77289837,1.176276866
202302,8035,72.71016311,1.190518763
202302,24025,72.61606023,1.212972324
202302,20045,72.52195734,1.822766203
202302,26045,72.52195734,1.511360111
202302,48113,72.45922208,1.209205866
202302,34021,72.39648683,1.519788142
202302,36029,72.39648683,1.606454184
202302,8014,72.3651192,1.083720136
202302,54035,72.3651192,1.41387504
202302,26161,72.3651192,1.630301649
202302,18091,72.27101631,1.709255015
202302,51173,72.23964868,2.214822656
202302,9001,72.20828105,2.068054313
202302,21019,72.17691343,2.27209879
202302,13117,72.08281054,1.151622061
202302,17063,71.83186951,1.377534744
202302,5119,71.83186951,1.172996314
